,TWEET,USER NAME,USER LOCATION
37,"OVO® x NBA @Raptors 🔥Available Now 

✅ Online exclusive
❌ Collection not sold in-store
❌ No curbside pickups 

#OVO… https://t.co/MiyhuXgMCs",ShopRSApparel,Toronto
38,🔴 LIVE PODCAST: Morning Report #391 September 29 2021 on @Spreaker #covid #election #military #milley #nba https://t.co/ZYftV6nrfR,rbmshow,Tampa
39,"🏀 @KingJames said he initially felt ""skepticism"" regarding the COVID-19 vaccine but ultimately decided to get it fo… https://t.co/CCoTssKvbp",ESPN_Caribbean,
40,LOW STARTING BIDS!!! BUNDLED SHIPPING WITH MULTIPLE PURCHASES ….. OFFERS WELCOMED … #rookies #Stars #patch #Autos… https://t.co/7HHKQ5s38O,boholorogg,Indiana
41,"GOAT Slasher #PS5Share, #NBA2K22 #2k22 #Slasher #2k #NBA #Streamer #Twitch https://t.co/LjGJmpcpGT",3PeatPo,Where I need to Be
42,"59FIFTY OVO X NBA BULLS - RED now available from OCTOBERSVERYOWN

#newdrop #octobersveryown #ovo #59fifty #nba… https://t.co/jdBTynQN0q",hatcrawler,
43,"59FIFTY OVO X NBA LAKERS - PURPLE now available from OCTOBERSVERYOWN

#newdrop #octobersveryown #ovo #59fifty #nba… https://t.co/Hu41SlZBun",hatcrawler,
44,"59FIFTY OVO X NBA KNICKS - BLUE now available from OCTOBERSVERYOWN

#newdrop #octobersveryown #ovo #59fifty #nba… https://t.co/QzWsTAFXXz",hatcrawler,
45,"59FIFTY OVO X NBA CELTICS - GREEN now available from OCTOBERSVERYOWN

#newdrop #octobersveryown #ovo #59fifty #nba… https://t.co/EsF3iuUPZ5",hatcrawler,
46,"59FIFTY OVO X NBA HEAT - RED now available from OCTOBERSVERYOWN

#newdrop #octobersveryown #ovo #59fifty #nba #heat… https://t.co/zzNrXNw1DN",hatcrawler,
47,"59FIFTY OVO X NBA RAPTORS - BLACK now available from OCTOBERSVERYOWN

#newdrop #octobersveryown #ovo #59fifty #nba… https://t.co/cqhDZI01wp",hatcrawler,
