,TWEET,USER NAME,USER LOCATION
38,Nba trade :  Ben Simmons for Kyrie Irving #NBA #kyrie #BenSimmons,hiram8190,Puerto Rico
39,"Hey @NBA @NBAPR @TheNBPA @kaj33 @BrooklynNets #Kyrie @warriors @22wiggins NBA #AntiVaxxers,
30K age 65+ tested Pfiz… https://t.co/82JONgebW0",Ripper77Jack,"Florida, USA"
40,"RT @Bens_head_space: @opinionsondanba I wonder how #Kyrie, as a Muslim, feels about Ted Cruz using him as a political tool🤔",futur3memori3s,NY
41,Kyrie Irving would lose over $400K per home game if he's not vaccinated - #nba #nets #Kyrie https://t.co/pONameeZOP,Habarient,Phoenix
42,"RT @HoopsDistillery: If #Kyrie is ready to sit out 43+ regular season games this season to avoid being vaccinated, would billionaire @Brook…",HoopsDistillery,"Massachusetts, USA"
43,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,JMCAlbanyNYGfan,"Albany, NY"
44,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,Pigskin_Drock,"DeLand, FL"
45,I’m not falling for the #Kyrie hype. It’s all bullshit. If he misses games so what. He is always caught up in some bullshit.,ImJustJoking_,"drinkin' Mai-Tai's, with Ty-Ty"
46,"I found a great episode of 'Stairway To Yevin'. Listen along here: https://t.co/OMDG7bTji8 

We talk #Yankees #Mets… https://t.co/7IbHKv874D",jyevin21,United States
47,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,analystonyx,Canada/united states/UK/NZ 
48,"Giro rápido de notícias da NBA ai para vocês.
.
.
.
.
.
..
#nbaleaguepass #nbanaband #nbanasportv #nba #nbabrasil… https://t.co/i9fsqSFsQT",ldpsports,
49,"@opinionsondanba I wonder how #Kyrie, as a Muslim, feels about Ted Cruz using him as a political tool🤔",Bens_head_space,"Downey, CA"
50,RT @ShkBkMediaGrp: BALLERS REPORT! #NFLTwitter #RaidersNation #Boltup #ChiefsKingdom #BroncosCountry #Kyrie #JustinHerbert #DerekCarr #Maho…,TheUnbiasedTru1,
51,I was waiting for this answer. Interesting to note Kyrie makes $11 million yearly on shoe contract. Wonder if he'd… https://t.co/E7vB4yKeJ2,tomzenner,"ÜT: 33.071061,-111.80235"
52,"NBA ruling on unvaccinated players could prove costly for Kyrie Irving, Andrew Wiggins #NBA #ruling #unvaccinated… https://t.co/t7yuR9X8QT",Newsworldexpres,
